Funktion_ID,Funktion_txt,WG/NWG,Typ_BDEW_th,Typ_BDEW_el
10008,Gebäude für kulturelle Zwecke,NWG,GKO,G2
10009,Gebäude zum Busbahnhof,NWG,GKO,G1
10010,Gebäude zum Parken,NWG,GMK,G3
10011,Gebäude zur Müllverbrennung,NWG,GWA,G1
10012,Gebäude zur Versorgungsanlage,NWG,GKO,G1
10013,Gebäude zur Wasserversorgung,NWG,GKO,G3
10014,Heizwerk,NWG,GKO,G3
10016,"Laufkran, Brückenlaufkran",NWG,GMK,G0
10017,Mast,NWG,GMK,G3
10018,Müllbunker,NWG,GMF,G3
10021,Scheune,NWG,GHA,G0
10022,Scheune und Stall,NWG,GHA,G0
10023,"Schornstein, Schlot, Esse",NWG,GMK,G0
10024,Schutzbunker,NWG,GKO,G0
10025,"Sende-, Funkturm, Fernmeldeturm",NWG,GMK,G3
10026,Silo,NWG,GWA,G0
10027,Sonstiges (SonstigesBauwerkOderSonstigeEinrichtung),NWG,GHD,G0
10028,Speditionsgebäude,NWG,GHA,G1
10029,Stall,NWG,GMF,L2
10030,Tank,NWG,GWA,G3
10031,Toilette,NWG,GMF,G1
10032,Überdachung,NWG,GMK,G0
10033,Umspannwerk,NWG,GMK,G3
10034,Versicherung,NWG,GKO,G1
10035,Wasserturm,NWG,GWA,G3
10037,Zuschauertribüne,NWG,GMK,G2
10038,"Zuschauertribüne, überdacht",NWG,GMK,G2
10039,Windrad,NWG,GMK,G3
10040,"Kirchturm, Glockenturm",NWG,GKO,G6
